Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R002144,"Abbruzzese, Rick A",KO Public Affairs LLC,"Bird Rides, Inc.",11/01/19-09/01/20
R002153,"Abbruzzese, Rick A",KO Public Affairs LLC,Share Our Strength,11/01/19-10/31/20
R002138,"Abbruzzese, Rick A",KO Public Affairs LLC,Transource Maryland,11/01/19-10/31/20
R002159,"Abbruzzese, Rick A",KO Public Affairs LLC,Pharmaceutical Research & Manufacturers of America,11/01/19-10/31/20
R002162,"Abbruzzese, Rick A",KO Public Affairs LLC,Maryland Catholic Conference,01/06/20-10/31/20
R003501,"Adams, Doug Foley",Capitol Strategies,Capitol Strategies LLC,02/03/20-10/31/20
R002780,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,"HP, Inc.",12/18/19-10/31/20
R003312,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,"First Floor, Inc.",01/12/20-10/31/20
R003152,"Adkins, Todd ",National Rifle Association ,National Rifle Association,01/09/20-08/03/20
R000153,"Albert, David G.","The Waverly Group, Inc.","J29, Inc.",11/01/19-05/01/20
R003905,"Albert, David G.","The Waverly Group, Inc.",Maximus,11/01/19-10/31/20
R003906,"Albert, David G.","The Waverly Group, Inc.",Carahsoft,11/01/19-10/31/20
R000275,"Alexander & Cleaver, P.A.","Fletcher, Teresa ","Alexander & Cleaver, P.A.",05/01/20-10/31/20
R002642,"Ali, Ragina Cooper",AAA Club Alliance/AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,11/18/19-10/31/20
R003333,"Allen, Amanda Nicole",Transurban,Transurban,01/24/20-10/31/20
R003243,"Alston, Bryan ","State Circle Strategies, LLC",Coppin State University-College of Health Professions,01/13/20-10/31/20
R003246,"Alston, Bryan ","State Circle Strategies, LLC","CHA, Inc. dba Mary & Main Dispensary",01/13/20-10/31/20
R003239,"Alston, Bryan ","State Circle Strategies, LLC","TicketNetwork, Inc",01/13/20-10/31/20
R003245,"Alston, Bryan ","State Circle Strategies, LLC","OGOS Energy, LLC",01/13/20-10/31/20
R003240,"Alston, Bryan ","State Circle Strategies, LLC",Bon Secours Baltimore Health System Foundation,01/13/20-10/31/20
R003244,"Alston, Bryan ","State Circle Strategies, LLC",Baltimore City Community College,01/13/20-10/31/20
R003110,"Alston, Bryan ","State Circle Strategies, LLC",Corteva Agriscience,01/07/20-10/31/20
R003242,"Alston, Bryan ","State Circle Strategies, LLC",GEDCO (Govans Ecumenical Development Corporation),01/13/20-10/31/20
R003241,"Alston, Bryan ","State Circle Strategies, LLC",Park Heights Renaissance,01/13/20-10/31/20
R003247,"Alston, Bryan ","State Circle Strategies, LLC",Tagliata/ Elk Room LLC,01/13/20-10/31/20
R000052,"Altema, Irnande ",Mental Health Association of Maryland,Mental Health Association of Maryland,11/01/19-10/31/20
R000034,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/19-10/31/20
R003826,"American Civil Liberties Union, Inc.","Dougherty, Terence ","American Civil Liberties Union, Inc.",04/06/20-10/31/20
R001724,"Amo, Gabriel ",N/A,"Home Depot, Inc., The",11/01/19-04/06/20
R003234,"Amster, Molly ",Jews United for Justice,Jews United for Justice,01/13/20-10/31/20
R003875,"Anas, George Konstintine",Dominion Energy,Dominion Energy,05/12/20-10/31/20
R003541,"Anderson, LaKeitha ",RAI Services Company,RAI Services Company,02/04/20-10/31/20
R002798,"Andrade, Jeffrey R",McKeon Group,Cicero Group,12/03/19-04/01/20
R003885,"Andrews, Erin ","FAIR Fund, Inc.","Fair Girls, Inc.",01/29/20-10/31/20
