Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
LR98750,"Abbruzzese, Rick ",KOFA Public Affairs LLC,Share our Strength,02/08/17-10/31/17
LR98754,"Abbruzzese, Rick ",KOFA Public Affairs LLC,Transourse MD,01/23/17-10/31/17
LR97387,"Abbruzzese, Rick ",KOFA Public Affairs LLC,Case Commons,11/01/16-10/31/17
LR109066,"Abbruzzese, Rick ",KOFA Public Affairs LLC,Pharmaceutical Research & Manufacturers of America,02/14/17-10/31/17
LR109250,"Abbruzzese, Rick ",KOFA Public Affairs LLC,State Center LLC,03/16/17-10/31/17
LR98145,"Abrams, Benjamin Stoner",Northrop Grumman Corporation,Northrop Grumman Corporation,11/01/16-10/31/17
LR95995,"Acosta, Katharina ",MD Catholic Conference,"Maryland Catholic Conference, LLC.",11/01/16-10/31/17
LR108889,"Adams, Kelly ",Everytown for Gun Safety Action Fund,Everytown for Gun Safety Action Fund,01/26/17-10/31/17
LR109038,"Adams, Jr., Earl ",Saul Ewing LLP,"HP, Inc.",02/01/17-04/30/17
LR140211,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,Saul Ewing LLP,08/16/17-08/16/17
LR139824,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,HP Inc.,10/10/17-10/31/17
LR98248,"Ahluwalia, Puneet  ","New World Strategies, Inc",RELX Group,11/22/16-01/31/17
LR97931,"Akbar, Rais ","Advocates for Children and Youth, Inc.","Advocates For Children and Youth, Inc.",11/01/16-10/31/17
LR96623,"Albert, David G.","The Waverly Group, Inc.",Periscope Holdings,11/01/16-08/31/17
LR98308,"Albert, David G.","The Waverly Group, Inc.","GANTECH, Inc.",11/23/16-10/31/17
LR139568,"Albert, David G.","The Waverly Group, Inc.",NTT Data Services,08/15/17-10/31/17
LR139690,"Albert, David G.","The Waverly Group, Inc.",Westmount Corporation,10/01/17-10/31/17
LR139498,"Albert, David G.","The Waverly Group, Inc.",Beacon Health Options,07/14/17-10/31/17
