Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R007256,"Abbruzzese, Rick A",KO Public Affairs LLC,goPuff,01/15/21-10/31/21
R006484,"Abbruzzese, Rick A",KO Public Affairs LLC,Maryland Catholic Conference,11/01/20-10/31/21
R006485,"Abbruzzese, Rick A",KO Public Affairs LLC,Share Our Strength,11/01/20-10/31/21
R006486,"Abbruzzese, Rick A",KO Public Affairs LLC,Pharmaceutical Research & Manufacturers of America,11/01/20-10/31/21
R006371,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,"HP, Inc.",11/01/20-07/13/21
R006373,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,"First Floor, Inc.",11/01/20-07/13/21
R006621,"Albert, David G.","The Waverly Group, Inc.",Carahsoft,11/16/20-10/31/21
R006622,"Albert, David G.","The Waverly Group, Inc.",Maximus,11/16/20-10/31/21
R006163,"Alexander, Gary R.","Alexander Strategic Solutions, LLC",Maryland Recovery Association,11/01/20-06/01/21
R007045,"Ali, Ragina Cooper",AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,01/06/21-10/31/21
R005355,"Allen, Amanda Nicole",Transurban,Transurban,11/01/20-10/31/21
R007712,"Alston, Bryan ","State Circle Strategies, LLC","OGOS Energy, LLC",02/01/21-10/31/21
R007708,"Alston, Bryan ","State Circle Strategies, LLC","CHA, Inc. dba Mary & Main Dispensary",02/01/21-10/31/21
R007707,"Alston, Bryan ","State Circle Strategies, LLC",Park Heights Renaissance,02/01/21-10/31/21
R007709,"Alston, Bryan ","State Circle Strategies, LLC","TicketNetwork, Inc",02/01/21-10/31/21
R007714,"Alston, Bryan ","State Circle Strategies, LLC",Maryland Alliance of SAI Organizations,02/01/21-10/31/21
R007706,"Alston, Bryan ","State Circle Strategies, LLC",Bon Secours Baltimore Health System Foundation,02/01/21-10/31/21
R007710,"Alston, Bryan ","State Circle Strategies, LLC",Corteva Agriscience,02/01/21-10/31/21
R007711,"Alston, Bryan ","State Circle Strategies, LLC",GEDCO (Govans Ecumenical Development Corporation),02/01/21-10/31/21
R007713,"Alston, Bryan ","State Circle Strategies, LLC",Baltimore City Community College,02/01/21-10/31/21
R006680,"Altema, Irnande ",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/19/20-10/31/21
R005522,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/20-10/31/21
R004603,"American Civil Liberties Union, Inc.","Dougherty, Terence ","American Civil Liberties Union, Inc.",11/01/20-10/31/21
R006786,"Amster, Molly ",Jews United for Justice,Jews United for Justice,12/01/20-10/31/21
R006496,"Anas, George Konstintine",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",11/01/20-10/31/21
