Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
LR146611,"Abbruzzese, Rick ",KO Public Affairs LLC,Transource Maryland,12/03/18-10/31/19
LR147859,"Abbruzzese, Rick ",KO Public Affairs LLC,"Bird Rides, Inc",12/03/18-10/31/19
LR146612,"Abbruzzese, Rick ",KO Public Affairs LLC,Share our Strength,12/03/18-10/31/19
LR146613,"Abbruzzese, Rick ",KO Public Affairs LLC,We Work for Health Maryland,12/19/18-10/31/19
LR145722,"Adams, Jr., Earl S.",Saul Ewing Arnstein & Lehr LLP,HP Inc.,11/01/18-10/31/19
LR147889,"Albert, David G.","The Waverly Group, Inc.",NTT Data Services,11/15/18-05/01/19
LR147877,"Albert, David G.","The Waverly Group, Inc.","GANTECH, Inc.",11/15/18-12/31/18
LR147899,"Albert, David G.","The Waverly Group, Inc.",Maximus,06/01/19-10/31/19
LR146380,"Albert, David G.","The Waverly Group, Inc.",Beacon Health Options,11/15/18-05/31/19
LR146381,"Albert, David G.","The Waverly Group, Inc.",Carahsoft Technology Corp,11/15/18-05/31/19
LR146383,"Albert, David G.","The Waverly Group, Inc.",Maximus,11/15/18-05/31/19
LR147888,"Albert, David G.","The Waverly Group, Inc.",Kronos,11/01/18-04/30/19
LR147902,"Albert, David G.","The Waverly Group, Inc.",Beacon Health Options,06/01/19-10/31/19
LR147903,"Albert, David G.","The Waverly Group, Inc.",Carahsoft Technology Corp,06/01/19-10/31/19
LR147399,"Albert, David G.","The Waverly Group, Inc.",Hopewell Fund,02/05/19-04/30/19
LR146044,"Alborn, Salliann ",Maryland Community Health System,Maryland Community Health System,11/01/18-04/30/19
LR147759,"Alborn, Salliann ",Maryland Community Health System,Maryland Community Health System,05/01/19-10/31/19
LR146116,"Alexander, Gary R.","Alexander & Cleaver, P.A.","Kennedy Krieger Institute, The",11/01/18-10/31/19
LR145795,"Alexander, Gary R.","Alexander & Cleaver, P.A.","Sequon, Inc.",11/01/18-12/31/18
LR145823,"Alexander, Gary R.","Alexander & Cleaver, P.A.","Sherwin-Williams Company, The",11/01/18-10/31/19
LR146129,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Distilled Spirits Council of the U.S.,11/01/18-12/31/18
LR145842,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Printing & Graphics Association MidAtlantic,11/01/18-10/31/19
LR146038,"Alexander, Gary R.","Alexander & Cleaver, P.A.","ConAgra Grocery Products Company, LLC",11/01/18-10/31/19
LR146030,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Norfolk Southern Corporation,11/01/18-12/31/18
LR146084,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Doctor's Community Hospital,11/01/18-10/31/19
LR145805,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Association of Maryland Pilots,11/01/18-10/31/19
LR145812,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Atlantic Richfield Company (ARCO),11/01/18-10/31/19
LR146036,"Alexander, Gary R.","Alexander & Cleaver, P.A.","NL Industries, Inc ",11/01/18-10/31/19
LR146047,"Alexander, Gary R.","Alexander & Cleaver, P.A.",National Cryptologic Museum Foundation Cyber Center for Education and Innovation - Home of the National Cryptologic Museum,11/01/18-10/31/19
LR146080,"Alexander, Gary R.","Alexander & Cleaver, P.A.",Diamond Game Enterprises,11/01/18-10/31/19
LR146115,"Alexander, Gary R.","Alexander & Cleaver, P.A.","Leota Professional Resources, LLC",11/01/18-10/31/19
LR145840,"Alexander, Gary R.","Alexander & Cleaver, P.A.","PSEG Fossil, LLC",11/01/18-10/31/19
