Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
LR43103,MD Women's Coalition for Health Care Reform ,MD Women's Coalition for Health Care Reform,MD Women's Coalition for Health Care Reform ,11/01/15-10/31/16
LR54547,"Aanenson, Karalyn ","The Artemis Group, LLC",Food & Friends ,01/08/16-04/30/16
LR54642,"Aanenson, Karalyn ","The Artemis Group, LLC",Maryland Dental Hygienists Association,01/13/16-04/30/16
LR44211,"Aanenson, Karalyn  ",Community Law in Action ,Community Law in Action,11/30/15-10/31/16
LR41171,"Abban, Gerald ",Fidelity Brokerage Services LLC,"Fidelity Brokerage Services, LLC",11/01/15-10/31/16
LR55082,"Abbruzzese, Rick ",KOFA Public Affairs LLC,Strategic Elements LLC on behalf of Partnership for a New American Economy,03/01/16-10/31/16
LR43330,"Abbruzzese, Rick ","Rifkin, Weiner, Livingston, Levitan & Silver, LLC","Walden University/Laureate Education, Inc.",11/01/15-01/15/16
LR43326,"Abbruzzese, Rick ","Rifkin, Weiner, Livingston, Levitan & Silver, LLC","Chimes, The",11/01/15-01/15/16
LR43328,"Abbruzzese, Rick ","Rifkin, Weiner, Livingston, Levitan & Silver, LLC",Mid-Atlantic Health Care,11/01/15-01/15/16
LR65123,"Abrams, Benjamin Stoner",Northrop Grumman Corporation,Northrop Grumman Corporation,03/16/16-10/31/16
LR41290,"Abramson, Arthur C.",Baltimore Jewish Council,Baltimore Jewish Council,11/01/15-05/31/16
LR95497,"Acosta, Katharina ",MD Catholic Conference,"Maryland Catholic Conference, LLC.",08/17/16-10/31/16
LR41463,"Adams, Jr., Earl ",DLA Piper LLP (US),Maryland Coalition of Title Insurers,11/01/15-02/19/16
LR41465,"Adams, Jr., Earl ",DLA Piper LLP (US),Nexus Health Inc.,11/01/15-02/19/16
LR41476,"Adams, Jr., Earl ",DLA Piper LLP (US),TCC Software Solutions,11/01/15-02/19/16
LR95517,"Adams, Jr., Earl ",Saul Ewing LLP,Saul Ewing LLP,08/17/16-08/17/16
LR41446,"Adams, Jr., Earl ",DLA Piper LLP (US),"Columbia Association, Inc.",11/01/15-02/19/16
LR41450,"Adams, Jr., Earl ",DLA Piper LLP (US),Concentra Medical Centers,11/01/15-02/19/16
LR41458,"Adams, Jr., Earl ",DLA Piper LLP (US),Hewlett Packard Enterprise,11/01/15-02/19/16
LR41470,"Adams, Jr., Earl ",DLA Piper LLP (US),"Pepco Holdings, Inc.",11/01/15-02/19/16
LR41437,"Adams, Jr., Earl ",DLA Piper LLP (US),"Association of Independent Health Care Owners , Inc.",11/01/15-02/19/16
LR41453,"Adams, Jr., Earl ",DLA Piper LLP (US),Costco Wholesale,11/01/15-02/19/16
LR41454,"Adams, Jr., Earl ",DLA Piper LLP (US),General Motors LLC,11/01/15-02/19/16
LR41442,"Adams, Jr., Earl ",DLA Piper LLP (US),"Center Stage Associates, Inc.",11/01/15-02/19/16
LR42953,"Adams, Jr., Earl ",DLA Piper LLP (US),HP Inc.,11/01/15-02/19/16
LR65201,"Adams, Jr., Earl ",Saul Ewing LLP,Hewlett Packard Enterprise,04/19/16-10/31/16
LR65306,"Adams, Jr., Earl ",Saul Ewing LLP,Nexus Health Inc.,05/01/16-10/31/16
LR41555,"Aery, Shaila R.","The Artemis Group, LLC",America's Natural Gas Alliance,11/01/15-12/28/15
