Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R012051,"Alexander, Dennis C.","Easter Seals Serving DC|MD|VA, Inc.",Easter Seals Serving DC MD VA,11/01/22-10/31/23
R012335,"Allen, Amanda Nicole",Transurban,Transurban,11/01/22-10/31/23
R009612,"Altema, Irnande ",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/22-10/31/23
R013284,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/22-10/31/23
R014328,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",One Fair Wage,11/01/22-10/31/23
R013781,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Horizon Foundation of Howard County, Inc., The",11/01/22-10/31/23
R013786,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative, Inc.",11/01/22-10/31/23
R013782,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Hopewell Fund,11/01/22-10/31/23
R013778,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Bowie Baysox Baseball Club, LLC",11/01/22-10/31/23
R013784,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Energy Action Fund,11/01/22-10/31/23
R013785,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maximus,11/01/22-10/31/23
R013788,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",1199 SEIU,11/01/22-10/31/23
R013776,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Arc of Prince George's County, The",11/01/22-10/31/23
R013777,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",City of College Park,11/01/22-10/31/23
R014063,"Andryszak, John A.", Law Office of John A Andryszak,"Chubb & Sons, A Division of Federal Insurance Company",11/01/22-10/31/23
R014065,"Andryszak, John A.", Law Office of John A Andryszak,"Competitive Power Ventures, Inc.",11/01/22-10/31/23
R014060,"Andryszak, John A.", Law Office of John A Andryszak,American International Group,11/01/22-10/31/23
R014066,"Andryszak, John A.", Law Office of John A Andryszak,"Travelers Companies, Inc and Subsidiaries",11/01/22-10/31/23
R013712,"Anleu, Brian ",AOBA,Apartment & Office Building Association,11/01/22-10/31/23
R013716,"Appel, Erin ","Capitol Strategies, LLC",Abner's,11/01/22-10/31/23
R014754,"Appel, Erin ","Capitol Strategies, LLC",IATSE Local 487,11/01/22-10/31/23
R014163,"Appel, Erin ","Capitol Strategies, LLC",Association for Accessible Medicines,11/01/22-10/31/23
R014631,"Appel, Erin ","Capitol Strategies, LLC",Verizon Communications,11/01/22-10/31/23
R014637,"Appel, Erin ","Capitol Strategies, LLC",W.L. Gore & Associates,11/01/22-10/31/23
R014160,"Appel, Erin ","Capitol Strategies, LLC","Aramark Correctional Services, LLC",11/01/22-10/31/23
R014263,"Appel, Erin ","Capitol Strategies, LLC","Constellation Energy Generation, LLC",11/01/22-10/31/23
R014264,"Appel, Erin ","Capitol Strategies, LLC",Covanta Energy LLC,11/01/22-10/31/23
R013808,"Appel, Erin ","Capitol Strategies, LLC","Al Fakher Distribution USA, Inc",11/01/22-10/31/23
R014627,"Appel, Erin ","Capitol Strategies, LLC",Veritas HHS,11/01/22-10/31/23
R014360,"Appel, Erin ","Capitol Strategies, LLC","Maryland Geothermal Association, The",11/01/22-10/31/23
R014159,"Appel, Erin ","Capitol Strategies, LLC",Luminis Health,11/01/22-10/31/23
R013813,"Appel, Erin ","Capitol Strategies, LLC","American Express Travel Related Services, Inc.",11/01/22-10/31/23
R014619,"Appel, Erin ","Capitol Strategies, LLC","Residences at Benning Road LLC, The",11/01/22-10/31/23
R014261,"Appel, Erin ","Capitol Strategies, LLC",Chesapeake Regional Information System for our Patients,11/01/22-10/31/23
R014286,"Appel, Erin ","Capitol Strategies, LLC",International Council of Shopping Centers,11/01/22-10/31/23
R014162,"Appel, Erin ","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/22-10/31/23
R014257,"Appel, Erin ","Capitol Strategies, LLC",Centurion,11/01/22-10/31/23
R014626,"Appel, Erin ","Capitol Strategies, LLC",TikTok Inc. US,11/01/22-10/31/23
R013790,"Appel, Erin ","Capitol Strategies, LLC",Accenture LLP,11/01/22-10/31/23
R014761,"Appel, Erin ","Capitol Strategies, LLC",Willis Towers Watson Southeast,11/01/22-10/31/23
R014280,"Appel, Erin ","Capitol Strategies, LLC",Gannett Fleming,11/01/22-10/31/23
R014276,"Appel, Erin ","Capitol Strategies, LLC",Educational Testing Service (ETS),11/01/22-10/31/23
R014613,"Appel, Erin ","Capitol Strategies, LLC",Alstom,11/01/22-11/01/22
R014616,"Appel, Erin ","Capitol Strategies, LLC","Allegis, Redwood, Maxim Public Affairs, LLC",11/01/22-10/31/23
R014624,"Appel, Erin ","Capitol Strategies, LLC",Slice Wireless Solutions,11/01/22-10/31/23
R014272,"Appel, Erin ","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/22-10/31/23
R014164,"Appel, Erin ","Capitol Strategies, LLC",Brightview Senior Living,11/01/22-10/31/23
R014283,"Appel, Erin ","Capitol Strategies, LLC",HMSHost,11/01/22-10/31/23
R014609,"Appel, Erin ","Capitol Strategies, LLC",Maryland School Bus Contractors Association,11/01/22-10/31/23
R014599,"Appel, Erin ","Capitol Strategies, LLC","MTM, Inc",11/01/22-10/31/23
R012908,"Arneson, Emily ",Kennedy Krieger Institute ,Kennedy Krieger Institute,11/01/22-10/31/23
R014879,"Ascher, Jason ",Mid-Atlantic Pipe Trades,Mid-Atlantic Pipe Trades Association,11/01/22-10/31/23
R012351,"Atlas, Bob ",Maryland Hospital Association,Maryland Hospital Association,11/01/22-10/31/23
R014311,"Atticks, Kevin ","Grow & Fortify, LLC",Brewers Association of Maryland,11/01/22-10/31/23
R014313,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Wineries Association,11/01/22-10/31/23
R014314,"Atticks, Kevin ","Grow & Fortify, LLC",Maryland Distillers Guild,11/01/22-10/31/23
R013969,"Autrey, Chanell ",Target Corporation,Target Corporation,11/01/22-10/31/23
R014358,"Baccino, Steven Michael",Chesapeake Utilities Corporation,Chesapeake Utilities Corporation,11/01/22-10/31/23
