Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R011854,"Adams, Michael  ","Sasscer, Clagett & Bucher",Associated Builders & Contractors,03/14/22-10/31/22
R011674,"Adams, Michael  ","Sasscer, Clagett & Bucher","Walmart Stores, Inc.",02/09/22-10/31/22
R011515,"Adams, Michael  ","Sasscer, Clagett & Bucher","Juul Labs, Inc.",01/21/22-10/31/22
R011962,"Alexandeer, Jamie Grace",Freestate Justice,FreeState Justice,05/18/22-10/31/22
R011018,"Ali, Ragina Cooper",AAA Mid-Atlantic,AAA Club Alliance/AAA Mid-Atlantic,01/10/22-10/31/22
R008435,"Allen, Amanda Nicole",Transurban,Transurban,11/01/21-10/31/22
R009613,"Altema, Irnande ",Maryland Independent College & University Assocation,Maryland Independent College and University Association,11/01/21-10/31/22
R009273,"Amanuel, Yanet ",ACLU of Maryland,ACLU of Maryland,11/01/21-10/31/22
R008910,"American Civil Liberties Union, Inc.","Dougherty, Terence ","American Civil Liberties Union, Inc.",11/01/21-01/30/22
R011076,"Amster, Molly ",Jews United for Justice,Jews United for Justice,12/06/21-10/31/22
R011610,"Anas, George Konstintine",Berkshire Hathaway Energy GT&S,"Berkshire Hathaway Energy GT&S, LLC",02/02/22-10/31/22
R009494,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Maryland Citizens' Health Initiative, Inc.",11/01/21-10/31/22
R009490,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.","Arc of Prince George's County, The",11/01/21-10/31/22
R009498,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maryland RISE,11/01/21-10/31/22
R009495,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maximus,11/01/21-10/31/22
R009488,"Anderson, Stephanie Pratt","O'Malley, Miles, Nylen & Gilmore, P.A.",Maryland Workforce Alliance,11/01/21-10/31/22
